Account,Date,Description,Amount,Type,ChaseBalance,Category,Group,Confidence,Note
Checking ...0861,08/31/2026,GIV*FIRST PRESBY 831-4227811 CA              08/30,-20.0,DEBIT_CARD,2027.01,Others,Expenses,H,"Recurring $20 church/charitable giving - no matching category in your list, put under Others"
Checking ...0861,08/31/2026,EXCALIBUR HTL SELFPARK LAS VEGAS NV          08/30,-25.0,DEBIT_CARD,2047.01,For Car,Expenses,D,"Parking charge, defaulted to For Car"
Checking ...0861,08/31/2026,PAN ASIAN EXPRESS MGM 702-5970131 NV         08/29,-117.91,DEBIT_CARD,2072.01,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/31/2026,HERSHEYS CHOCOLATE WORL LAS VEGAS NV         08/29,-22.43,DEBIT_CARD,2189.92,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/31/2026,NATHANS FAMOUS NYNY 81 702-2332228 NV        08/29,-20.48,DEBIT_CARD,2212.35,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/31/2026,SQ *JB HOLDINGS LV LL Boulder city NV        08/29,-16.86,DEBIT_CARD,2232.83,Food - Eat Out,Expenses,D,
Checking ...0861,08/31/2026,BOULDER VINTAGE BOULDER CITY NV              08/29,-25.96,DEBIT_CARD,2249.69,Vacation,Expenses,D,"Hotel/travel-city charge, looks like part of a trip"
Checking ...0861,08/31/2026,SQ *RETAIL - BOULDER BOULDER CITY NV         08/29,-25.77,DEBIT_CARD,2275.65,Food - Eat Out,Expenses,D,
Checking ...0861,08/31/2026,SQ *DAM ROAST HOUSE & Boulder City NV        08/29,-30.13,DEBIT_CARD,2301.42,Food - Eat Out,Expenses,D,
Checking ...0861,08/31/2026,MANILA BBQ & SEAFOOD HENDERSON NV            08/29,-181.85,DEBIT_CARD,2331.55,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/31/2026,ATM WITHDRAWAL                       002869  08/29605 MARKS,-100.0,ATM,2513.40,Others,Expenses,H,ATM cash withdrawal - cash spend is untracked after this point
Checking ...0861,08/31/2026,MSS SURFACE LOT LAS VEGAS NV                 08/28,-20.0,DEBIT_CARD,2613.40,Vacation,Expenses,D,"Hotel/travel-city charge, looks like part of a trip"
Checking ...0861,08/31/2026,STEAK N SHAKE FREMONT LAS VEGAS NV           08/28,-31.57,DEBIT_CARD,2633.40,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/31/2026,Klarna* Klarna 151-7426184 DE                08/29,-7.34,DEBIT_CARD,2664.97,Klarna,Debt,H,
Checking ...0861,08/31/2026,CLARK CO PARKS AND REC 7024558132 NV         08/28,-10.0,DEBIT_CARD,2672.31,Vacation,Expenses,D,"Hotel/travel-city charge, looks like part of a trip"
Checking ...0861,08/31/2026,SQ *EVERGREEN COFFEE Henderson NV            08/28,-68.82,DEBIT_CARD,2682.31,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/31/2026,Google One 650-2530000 CA                    08/30,-2.99,DEBIT_CARD,2751.13,Google 1,Monthly Bills,H,
Checking ...0861,08/31/2026,Zelle payment from ANGELYNN FLORA PNCAA0cvc63x,330.0,PARTNERFI_TO_CHASE,2754.12,Others - Income,Income,R,Zelle received - please tell me who this person is so I can map them to a category
Checking ...0861,08/28/2026,PAYPAL           TRANSFER   ADD TO BALANCE  WEB ID: PAYPALSD22,-50.0,ACH_DEBIT,2424.12,Transfer - Checking to PayPal,Transfer,H,
Checking ...0861,08/28/2026,SP+AFF * AEROFLOWDYNA 855-423-3729 CA        08/28,-19.56,DEBIT_CARD,2474.12,Shop - Others,Expenses,R,Small online-shop charge via an affiliate/Affirm-style processor - description doesn't name the actual store
Checking ...0861,08/28/2026,SP+AFF * EUFY US 855-423-3729 CA             08/28,-88.24,DEBIT_CARD,2493.68,Shop - Others,Expenses,R,Small online-shop charge via an affiliate/Affirm-style processor - description doesn't name the actual store
Checking ...0861,08/28/2026,Online Transfer to  SAV ...5953 transaction#: 30494287738,-25.0,ACCT_XFER,2581.92,Transfer - Checking to Savings,Transfer,H,
Checking ...0861,08/28/2026,AMAZON.COM SERVI INTERNET   043000093323126 WEB ID: 9049016352,-38.9,ACH_DEBIT,2606.92,Shop - Amazon,Expenses,H,
Checking ...0861,08/28/2026,Taptap Send New York NY                      08/28,-32.41,DEBIT_CARD,2645.82,Remittance - others,Expenses,R,"Remittance app transfer - recipient not shown; please tell me if this is Aron, Aron's tuition, or someone else"
Checking ...0861,08/28/2026,Zelle payment from Rose Ann Alonzo USAQ1EWTENUA,1700.0,PARTNERFI_TO_CHASE,2678.23,Others - Income,Income,R,Zelle received - please tell me who this person is so I can map them to a category
Checking ...0861,08/27/2026,CAPITAL ONE      CRCARDPMT  CA0D8729CD49526 WEB ID: 9541719318,-100.0,ACH_DEBIT,978.23,CC - Capital 1,Debt,H,
Checking ...0861,08/27/2026,PAYPAL           PURCHASE   GOOGLE BYTEDANC WEB ID: PAYPALSI77,-9.19,ACH_DEBIT,1078.23,Others,Expenses,R,"Subscription/purchase via PayPal (Apple, Etsy, Google apps, Lyft, AARP, etc.) - no matching category"
Checking ...0861,08/27/2026,AMAZON MARKETPLA INTERNET   043000092200686 WEB ID: 9049016352,-9.74,ACH_DEBIT,1087.42,Shop - Amazon,Expenses,H,
Checking ...0861,08/27/2026,CHEVRON 0209895 HENDERSON NV                 08/27,-68.2,DEBIT_CARD,1097.16,Gas,Expenses,D,
Checking ...0861,08/26/2026,MISSION LANE     EDI PYMNTS                 PPD ID: 2832674981,-2.31,ACH_DEBIT,1165.36,CC - Mission Lane,Debt,H,
Checking ...0861,08/26/2026,HABIT BURGER 5008 HENDERSON NV               08/25,-41.19,DEBIT_CARD,1167.67,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/26/2026,CHIC AND COZY CONSIGNME HENDERSON NV         08/25,-32.51,DEBIT_CARD,1208.86,Shop - Others,Expenses,D,
Checking ...0861,08/26/2026,CHIC AND COZY CONSIGNME HENDERSON NV         08/25,-346.78,DEBIT_CARD,1241.37,Shop - Others,Expenses,D,
Checking ...0861,08/26/2026,COMCAST-XFINITY  CABLE SVCS                 PPD ID: 0000213249,13.97,ACH_CREDIT,1588.15,Comcast,Monthly Bills,H,
Checking ...0861,08/26/2026,PAYPAL           TRANSFER                   PPD ID: PAYPALSD11,1000.0,ACH_CREDIT,1574.18,Transfer - PayPal to Checking,Transfer,H,
Checking ...0861,08/25/2026,CHECK OR SUPPLY  ORDER                      PPD ID: 1410216800,-30.0,FEE_TRANSACTION,574.18,Others,Expenses,H,Bank fee
Checking ...0861,08/25/2026,PAYPAL           PURCHASE   GOOGLE YOUTUBE  WEB ID: PAYPALSI77,-14.71,ACH_DEBIT,604.18,YT Premium,Monthly Bills,H,
Checking ...0861,08/25/2026,Online Payment 30543945066 To PACIFIC GAS & ELECTRIC (PG&E) 08/25,-165.5,BILLPAY,618.89,PGE,Monthly Bills,H,
Checking ...0861,08/25/2026,Online Payment 30543871137 To ALA 0908 08/25,-706.36,LOAN_PMT,784.39,Others,Expenses,R,Recurring $706.36/month loan-type payment to 'ALA 0908' - please tell me what this is so I can give it the right category
Checking ...0861,08/25/2026,PAYPAL           PURCHASE   GOOGLE YESOULFI WEB ID: PAYPALSI77,-13.99,ACH_DEBIT,1490.75,Yesoulfitness,Monthly Bills,H,
Checking ...0861,08/25/2026,VERIZON WIRELESS PAYMENTS                   PPD ID: 4223344794,-408.35,MISC_DEBIT,1504.74,Verizon,Monthly Bills,H,
Checking ...0861,08/25/2026,AMAZON MARKETPLA INTERNET   043000099391278 WEB ID: 9049016352,-31.92,ACH_DEBIT,1913.09,Shop - Amazon,Expenses,H,
Checking ...0861,08/25/2026,AMAZON MARKETPLA INTERNET   043000099063796 WEB ID: 9049016352,-115.95,ACH_DEBIT,1945.01,Shop - Amazon,Expenses,H,
Checking ...0861,08/25/2026,AMAZON.COM SERVI INTERNET   043000098650384 WEB ID: 9049016352,-174.79,ACH_DEBIT,2060.96,Shop - Amazon,Expenses,H,
Checking ...0861,08/25/2026,SP+AFF * WRXDAILY 855-423-3729 CA            08/25,-220.95,DEBIT_CARD,2235.75,Shop - Others,Expenses,R,Small online-shop charge via an affiliate/Affirm-style processor - description doesn't name the actual store
Checking ...0861,08/25/2026,SQ *NO. 1 BOBA TEA SOCI Henderson NV         08/24,-8.86,DEBIT_CARD,2456.70,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/25/2026,SQ *NO. 1 BOBA TEA SOCI Henderson NV         08/24,-27.47,DEBIT_CARD,2465.56,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/25/2026,Taptap Send New York NY                      08/24,-22.0,DEBIT_CARD,2493.03,Remittance - others,Expenses,R,"Remittance app transfer - recipient not shown; please tell me if this is Aron, Aron's tuition, or someone else"
Checking ...0861,08/25/2026,TST*FOX SMOKEHOUSE BB Boulder City NV        08/23,-90.33,DEBIT_CARD,2515.03,Food - Eat Out,Expenses,D,
Checking ...0861,08/25/2026,Zelle payment from Katrina T Perez USBPFXMsz6zJ,50.0,PARTNERFI_TO_CHASE,2605.36,Others - Income,Income,R,Zelle received - please tell me who this person is so I can map them to a category
Checking ...0861,08/24/2026,ATM WITHDRAWAL                       000184  08/24605 MARKS,-1000.0,ATM,2555.36,Others,Expenses,H,ATM cash withdrawal - cash spend is untracked after this point
Checking ...0861,08/24/2026,Online Transfer to  SAV ...5953 transaction#: 30404182300,-25.0,ACCT_XFER,3555.36,Transfer - Checking to Savings,Transfer,H,
Checking ...0861,08/24/2026,PAYPAL           PURCHASE   GOOGLE SOLMA GR WEB ID: PAYPALSI77,-39.99,ACH_DEBIT,3580.36,Others,Expenses,R,"Subscription/purchase via PayPal (Apple, Etsy, Google apps, Lyft, AARP, etc.) - no matching category"
Checking ...0861,08/24/2026,LOWE'S #1537 HENDERSON NV            536313  08/23,-67.65,DEBIT_CARD,3620.35,Others,Expenses,D,Home-improvement store - no matching category in your list
Checking ...0861,08/24/2026,ATM WITHDRAWAL                       003724  08/23220 E LAK,-1000.0,ATM,3688.00,Others,Expenses,H,ATM cash withdrawal - cash spend is untracked after this point
Checking ...0861,08/24/2026,WM SUPERCENTER #2050 HENDERSON NV            08/23,-143.93,DEBIT_CARD,4688.00,Groceries - Walmart,Expenses,H,
Checking ...0861,08/24/2026,SMITHS #4331 HENDERSON NV                    08/23,-119.33,DEBIT_CARD,4831.93,Others,Expenses,R,Unrecognized charge - please tell me what this is
Checking ...0861,08/24/2026,GIV*FIRST PRESBY 831-4227811 CA              08/23,-20.0,DEBIT_CARD,4951.26,Others,Expenses,H,"Recurring $20 church/charitable giving - no matching category in your list, put under Others"
Checking ...0861,08/24/2026,GOOGLE *Life360 Famil 855-836-3987 CA        08/23,-13.79,DEBIT_CARD,4971.26,Life 360,Monthly Bills,H,
Checking ...0861,08/24/2026,SFC LAS VEGAS - MARYLA LAS VEGAS NV  471583  08/22,-110.22,DEBIT_CARD,4985.05,Vacation,Expenses,D,"Hotel/travel-city charge, looks like part of a trip"
Checking ...0861,08/24/2026,Zelle payment to RHIAN ALMO 30517082075,-28.0,QUICKPAY_DEBIT,5095.27,Others,Expenses,R,Zelle sent - please tell me who this person is so I can map them to a category
Checking ...0861,08/24/2026,DD *DOORDASH JOLLIBEE 855-431-0459 CA        08/24,-53.09,DEBIT_CARD,5123.27,Food - To go,Expenses,H,
Checking ...0861,08/24/2026,DD *DOORDASH THEMELTD 855-431-0459 CA        08/22,-41.49,DEBIT_CARD,5176.36,Food - To go,Expenses,H,
Checking ...0861,08/24/2026,PAYPAL           TRANSFER                   PPD ID: PAYPALSD11,2000.0,ACH_CREDIT,5217.85,Transfer - PayPal to Checking,Transfer,H,
Checking ...0861,08/21/2026,PAYPAL           TRANSFER   ADD TO BALANCE  WEB ID: PAYPALSD22,-50.0,ACH_DEBIT,3217.85,Transfer - Checking to PayPal,Transfer,H,
Checking ...0861,08/21/2026,AFFIRM.COM PAYME AFFIRM.COM ST-Y5W5C2J2R0J6 WEB ID: 4270465600,-141.09,ACH_DEBIT,3267.85,Affirm,Debt,H,
Checking ...0861,08/21/2026,VENMO            PAYMENT    1052493804751   WEB ID: 3264681992,-350.0,MISC_DEBIT,3408.94,Others,Expenses,R,"Rideshare or Venmo payment - no matching category, and Venmo recipient is unclear"
Checking ...0861,08/21/2026,EBAY COMMERCE INC. SAN JOSE CA               08/21,-35.75,DEBIT_CARD,3758.94,Shop - Others,Expenses,D,
Checking ...0861,08/21/2026,SQ *BOBA BOY Henderson NV                    08/21,-39.96,DEBIT_CARD,3794.69,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/21/2026,WM SUPERCENTER #3350 LAS VEGAS NV            08/20,-88.85,DEBIT_CARD,3834.65,Groceries - Walmart,Expenses,H,
Checking ...0861,08/21/2026,MINUTEKEY BOULDER CO                         08/21,-13.01,DEBIT_CARD,3923.50,Others,Expenses,D,Home-improvement store - no matching category in your list
Checking ...0861,08/21/2026,Amazon.com*5A7QZ9UE0 Amzn.com/bill WA        08/20,-27.08,DEBIT_CARD,3936.51,Shop - Amazon,Expenses,H,
Checking ...0861,08/21/2026,LITTLE PAMPANGA HENDERSON NV                 08/20,-40.07,DEBIT_CARD,3963.59,Vacation,Expenses,D,"Hotel/travel-city charge, looks like part of a trip"
Checking ...0861,08/21/2026,EXXON D & R MKT LOST HILLS CA                08/19,-41.34,DEBIT_CARD,4003.66,Gas,Expenses,D,
Checking ...0861,08/21/2026,Pay in 4 Deposit  - WILLA A HISLE OD (...6737),300.8,MISC_CREDIT,4045.00,Others - Income,Income,R,Unrecognized credit - please tell me the source
Checking ...0861,08/21/2026,PAYPAL           TRANSFER                   PPD ID: PAYPALSD11,3000.0,ACH_CREDIT,3744.20,Transfer - PayPal to Checking,Transfer,H,
Checking ...0861,08/20/2026,Zelle payment to 8182015945 JPM99cts4zlb,-2708.0,CHASE_TO_PARTNERFI,744.20,Others,Expenses,R,Zelle sent - please tell me who this person is so I can map them to a category
Checking ...0861,08/20/2026,Zelle payment to 7864124499 JPM99ctrsj6r,-800.0,CHASE_TO_PARTNERFI,3452.20,Others,Expenses,R,Zelle sent - please tell me who this person is so I can map them to a category
Checking ...0861,08/20/2026,Ambercup8554962356 185-5496235 NC            08/20,-15.74,DEBIT_CARD,4252.20,Shop - Others,Expenses,D,
Checking ...0861,08/20/2026,Ambercup8554962356 185-5496235 NC            08/20,-36.99,DEBIT_CARD,4267.94,Shop - Others,Expenses,D,
Checking ...0861,08/20/2026,Shoppawvia8555501268 185-5550126 NC          08/20,-15.74,DEBIT_CARD,4304.93,Shop - Others,Expenses,D,
Checking ...0861,08/20/2026,Shoppawvia8555501268 Cary NC                 08/20,-39.61,DEBIT_CARD,4320.67,Shop - Others,Expenses,D,
Checking ...0861,08/20/2026,MCDONALD'S F26499 LOST HILLS CA              08/19,-33.31,DEBIT_CARD,4360.28,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/20/2026,LBC SALINAS SALINAS CA                       08/18,-94.0,DEBIT_CARD,4393.59,Remittance - others,Expenses,R,LBC is a Filipino remittance/cargo courier - please confirm recipient
Checking ...0861,08/20/2026,Zelle payment from RHIAN ABIGAIL ALMO 30487939424,90.0,QUICKPAY_CREDIT,4487.59,Others - Income,Income,R,Zelle received - please tell me who this person is so I can map them to a category
Checking ...0861,08/20/2026,Online Transfer from SAV ...5953 transaction#: 30487469297,1586.0,ACCT_XFER,4397.59,Transfer - Savings to Checking,Transfer,H,
Checking ...0861,08/20/2026,PAYPAL           TRANSFER                   PPD ID: PAYPALSD11,1986.32,ACH_CREDIT,2811.59,Transfer - PayPal to Checking,Transfer,H,
Checking ...0861,08/19/2026,D & R MKT LOST HILLS CA                      08/19,-5.24,DEBIT_CARD,825.27,Gas,Expenses,D,
Checking ...0861,08/19/2026,SALINAS SINCLAI SALINAS CA                   08/19,-50.89,DEBIT_CARD,830.51,Gas,Expenses,D,
Checking ...0861,08/19/2026,AMAZON MARKETPLA INTERNET   043000092972826 WEB ID: 9049016352,-380.61,ACH_DEBIT,881.40,Shop - Amazon,Expenses,H,
Checking ...0861,08/19/2026,AFFIRM.COM PAYME AFFIRM.COM ST-D2P2S3Z7G6V7 WEB ID: 4270465600,-68.11,ACH_DEBIT,1262.01,Affirm,Debt,H,
Checking ...0861,08/19/2026,AFFIRM.COM PAYME AFFIRM.COM ST-F3H1D1P3F4J3 WEB ID: 1800948598,-213.32,ACH_DEBIT,1330.12,Affirm,Debt,H,
Checking ...0861,08/19/2026,DIAMOND DENTAL OF SALIN SALINAS CA           08/18,-100.0,DEBIT_CARD,1543.44,Medical,Expenses,H,
Checking ...0861,08/19/2026,REPUBLIC SVCS OF SALINA SALINAS CA           08/18,-43.4,DEBIT_CARD,1643.44,Waste Management,Monthly Bills,H,
Checking ...0861,08/19/2026,STARBUCKS 8007827282 800-782-7282 WA         08/18,-20.0,DEBIT_CARD,1686.84,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/19/2026,STARBUCKS 8007827282 800-782-7282 WA         08/18,-30.0,DEBIT_CARD,1706.84,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/19/2026,U-HAULONSITE EQUIPMENT SALINAS CA            08/18,-48.37,DEBIT_CARD,1736.84,For Car,Expenses,H,
Checking ...0861,08/19/2026,USPS CHANGE OF ADDRES 800-238-3150 TN        08/18,-1.25,DEBIT_CARD,1785.21,Others,Expenses,D,Shipping/postal
Checking ...0861,08/19/2026,LITTLE CAESARS #5054 800-722-3727 CA         08/17,-41.54,DEBIT_CARD,1786.46,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/19/2026,PAYPAL           TRANSFER                   PPD ID: PAYPALSD11,1828.0,ACH_CREDIT,1828.00,Transfer - PayPal to Checking,Transfer,H,
Checking ...0861,08/18/2026,DOMESTIC INCOMING WIRE FEE,-15.0,FEE_TRANSACTION,0.00,Others,Expenses,H,Bank fee
Checking ...0861,08/18/2026,Zelle payment to RHIAN ALMO 30465722280,-75.0,QUICKPAY_DEBIT,15.00,Others,Expenses,R,Zelle sent - please tell me who this person is so I can map them to a category
Checking ...0861,08/18/2026,THE HOME DEPOT #1843 SALINAS CA      023706  08/18,-24.43,DEBIT_CARD,90.00,Others,Expenses,D,Home-improvement store - no matching category in your list
Checking ...0861,08/18/2026,Zelle payment to Doris Lopez JPM99ctlg1nt,-50.0,CHASE_TO_PARTNERFI,114.43,Doris,Expenses,H,
Checking ...0861,08/18/2026,THE HOME DEPOT #1843 SALINAS CA      134138  08/18,-82.33,DEBIT_CARD,164.43,Others,Expenses,D,Home-improvement store - no matching category in your list
Checking ...0861,08/18/2026,AMAZON.COM SERVI INTERNET   043000099154040 WEB ID: 9049016352,-10.86,ACH_DEBIT,246.76,Shop - Amazon,Expenses,H,
Checking ...0861,08/18/2026,AFFIRM.COM PAYME AFFIRM.COM ST-D1S0F5J5F6E5 WEB ID: 1800948598,-98.62,ACH_DEBIT,257.62,Affirm,Debt,H,
Checking ...0861,08/18/2026,Zelle payment to 8182015945 JPM99ctiuy94,-2708.0,CHASE_TO_PARTNERFI,356.24,Others,Expenses,R,Zelle sent - please tell me who this person is so I can map them to a category
Checking ...0861,08/18/2026,NAPA STORE 4574057 SALINAS CA                08/17,-4.53,DEBIT_CARD,3064.24,For Car,Expenses,H,
Checking ...0861,08/18/2026,Online Transfer from SAV ...5953 transaction#: 30464063030,1000.0,ACCT_XFER,3068.77,Transfer - Savings to Checking,Transfer,H,
Checking ...0861,08/18/2026,CHIPS CREDIT VIA: CITIBANK N.A./0008 B/O: AMOAPPS LTD CY REF: NBNF=CHRISTOPHER PEREZ OR AILYNN PEREZ SALINAS CA 93907-1813 US/AC-000 000007071 ORG=/14995821 CY OGB=CITI BANK N.A. LONDON UNITED KINGDOM GB OBI=/URI/REFUND SSN: 00384560 TRN: 0095184230FC,18.99,WIRE_INCOMING,2068.77,Others - Income,Income,R,Deposit/wire with unclear source
Checking ...0861,08/18/2026,ODP TRANSFER FROM SAVINGS ...5953,2049.78,MISC_CREDIT,2049.78,Transfer - Savings to Checking,Transfer,H,Overdraft-protection auto-pull from savings
Checking ...0861,08/17/2026,AFFIRM.COM PAYME AFFIRM.COM ST-W2R2D2M9B7B4 WEB ID: 1800948598,-287.25,ACH_DEBIT,0.00,Affirm,Debt,H,
Checking ...0861,08/17/2026,AMAZON MARKETPLA INTERNET   043000097487524 WEB ID: 9049016352,-14.13,ACH_DEBIT,287.25,Shop - Amazon,Expenses,H,
Checking ...0861,08/17/2026,AMAZON MARKETPLA INTERNET   043000097552600 WEB ID: 9049016352,-15.65,ACH_DEBIT,301.38,Shop - Amazon,Expenses,H,
Checking ...0861,08/17/2026,AMAZON MARKETPLA INTERNET   043000097548100 WEB ID: 9049016352,-29.03,ACH_DEBIT,317.03,Shop - Amazon,Expenses,H,
Checking ...0861,08/17/2026,CITI CARD ONLINE PAYMENT    432093034101335 WEB ID: CITICTP,-3139.48,ACH_DEBIT,346.06,CC - Citibank,Debt,H,
Checking ...0861,08/17/2026,Zelle payment to LEANDRO VALLE JPM99ctf6qqx,-35.0,CHASE_TO_PARTNERFI,3485.54,Others,Expenses,R,Zelle sent - please tell me who this person is so I can map them to a category
Checking ...0861,08/17/2026,THE HOME DEPOT #1843 SALINAS CA      671389  08/16,-102.01,DEBIT_CARD,3520.54,Others,Expenses,D,Home-improvement store - no matching category in your list
Checking ...0861,08/17/2026,GIV*FIRST PRESBY 831-4227811 CA              08/16,-20.0,DEBIT_CARD,3622.55,Others,Expenses,H,"Recurring $20 church/charitable giving - no matching category in your list, put under Others"
Checking ...0861,08/17/2026,CHEVRON 0355921 BENICIA CA                   08/16,-50.34,DEBIT_CARD,3642.55,Gas,Expenses,D,
Checking ...0861,08/17/2026,SUSHI PIER TAHOE STATELINE NV                08/15,-98.2,DEBIT_CARD,3692.89,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/17/2026,NYACK EMIGRANT GAP CA                061478  08/15,-3.79,DEBIT_CARD,3791.09,Gas,Expenses,D,
Checking ...0861,08/17/2026,NYACK EMIGRANT GAP CA                549918  08/15,-9.11,DEBIT_CARD,3794.88,Gas,Expenses,D,
Checking ...0861,08/17/2026,CHEVRON 0391035 NEWCASTLE CA                 08/15,-34.66,DEBIT_CARD,3803.99,Gas,Expenses,D,
Checking ...0861,08/17/2026,7-ELEVEN NEWCASTLE CA                        08/15,-11.98,DEBIT_CARD,3838.65,Gas,Expenses,D,
Checking ...0861,08/17/2026,CITYOFSAC-OFFSTREETPAY SACRAMENTO CA         08/15,-20.0,DEBIT_CARD,3850.63,For Car,Expenses,D,"Parking charge, defaulted to For Car"
Checking ...0861,08/17/2026,CARLS JR 0801 TRACY CA                       08/15,-18.47,DEBIT_CARD,3870.63,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/17/2026,SHELL SERVICE STATION GILROY CA      230935  08/15,-21.38,DEBIT_CARD,3889.10,Gas,Expenses,D,
Checking ...0861,08/17/2026,SHELL OIL 10010249000 GILROY CA              08/15,-43.88,DEBIT_CARD,3910.48,Gas,Expenses,D,
Checking ...0861,08/17/2026,WM SUPERCENTER #5751 SALINAS CA              08/14,-48.1,DEBIT_CARD,3954.36,Groceries - Walmart,Expenses,H,
Checking ...0861,08/17/2026,HABIT SALINAS 306 SALINAS CA                 08/14,-26.31,DEBIT_CARD,4002.46,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
Checking ...0861,08/17/2026,HABIT SALINAS 306 SALINAS CA                 08/14,-30.79,DEBIT_CARD,4028.77,Food - Eat Out,Expenses,D,Restaurant/fast-food - defaulted to Eat Out; move to Food - Ailynn/Chris/Misc if you know whose order it was
